Item ID,GUID,Name,Number,Imported ID,Target,Owner,Base Price,Created Date,Archived,Modifier,SKU,PLU
400000029713900782,00182b92-769c-4008-a6cb-09fa37e77c77,GUSTOSO AGUARDIENTE - RUM,400000029713900783,,RREAL TACOS,RREAL TACOS,8.00,4/25/2023,No,No,,
400000041220460240,002446cb-f845-4cb0-a630-23555fce7822,QUESO COTIJA,400000041220460241,,RREAL TACOS,RREAL TACOS,0.50,5/5/2024,No,No,,
400000029705054505,002bc13c-296e-4605-a76d-3884a04d3f61,DON JULIO REPOSADO - TEQUILA,400000029705054506,,RREAL TACOS,RREAL TACOS,13.00,4/24/2023,No,No,,
400000035097999701,004dacad-b09b-42dd-a790-2561e963c78c,Barbacoa,400000035097999702,,RREAL TACOS,RREAL TACOS,2.50,10/11/2023,No,Yes,,
400000035919336536,004fb642-4c94-49a3-9443-35c477c95429,Test Item,400000035919336537,,RREAL TACOS,RREAL TACOS,3.00,11/8/2023,No,No,,
400000038014150714,00627174-85cd-4b78-8a6f-12444ec65fcc,CRISPY AVOCADO,400000038014150715,,RREAL TACOS,RREAL TACOS,0.00,1/22/2024,No,Yes,,
400000045199080464,006b2670-0b78-4861-950a-774a01653d7e,No Coleslaw,400000045199080465,,RREAL TACOS,RREAL TACOS,0.00,9/4/2024,No,Yes,,
400000029704289207,008a3c5c-bf53-4209-aab7-e160e4b2b9f4,DON FULANO REPOSADO - TEQUILA,400000029704289208,,RREAL TACOS,RREAL TACOS,15.00,4/24/2023,No,No,,
400000043566067629,0090be5b-c478-4a2a-be90-206a028f46b3,TAMARINDO STICK,400000043566067630,,RREAL TACOS,RREAL TACOS,2.00,7/16/2024,No,Yes,,
400000041219777505,00917dfa-9bcb-4b27-a6e1-27f34b49750c,TRES GENERACIONES REPOSADO - TEQUILA,400000041219777506,,RREAL TACOS,RREAL TACOS,11.00,5/5/2024,No,No,,
400000053298178219,00a45fa5-a34d-4f3f-85f3-bcafa0af6743,KOMOS AÑEJO RESERVA - TEQUILA,400000053298178220,,RREAL TACOS,RREAL TACOS,40.00,5/14/2025,No,No,,
400000046036752152,00b22532-caf8-47d0-b26c-eb26f5290715,PICKLED JALAPEÑOS,400000046036752153,,RREAL TACOS,RREAL TACOS,0.50,10/1/2024,No,Yes,,
400000029703865379,00cf4cb3-cda6-4172-b9b0-b7b659128169,CAZADORES ANEJO - TEQUILA,400000029703865380,,RREAL TACOS,RREAL TACOS,12.00,4/24/2023,No,No,,
400000029705054517,00e2a646-28fb-460a-802c-52428322f597,DULCE VIDA BLANCO - TEQUILA,400000029705054518,,RREAL TACOS,RREAL TACOS,10.00,4/24/2023,No,No,,
400000053298178231,00eeb287-eefb-430b-9ac8-4b555ba6506d,FORTALEZA REPOSADO - TEQUILA,400000053298178232,,RREAL TACOS,RREAL TACOS,15.00,5/14/2025,No,No,,
400000049412478060,013da711-4029-441d-8816-813266b0800a,NO MAYO,400000049412478061,,RREAL TACOS,RREAL TACOS,0.00,1/22/2025,No,Yes,,
400000035096204347,01478346-3350-4e73-91fe-d0e32310fed9,Shrimp,400000035096204348,,RREAL TACOS,RREAL TACOS,2.50,10/11/2023,No,Yes,,
400000029719483385,015167b6-3cf4-4299-8150-232c169b8e7d,SMALL QUESO COTIJA - 2OZ,400000029719483386,,RREAL TACOS,RREAL TACOS,1.50,4/25/2023,No,No,,
400000057647149180,016141d9-ceca-4ab8-bc14-4722f6c83ad5,GRILLED FISH,400000057647149181,,09 - Rreal Tacos - Lawrenceville ,RREAL TACOS,2.00,9/12/2025,No,Yes,,
400000053006894117,016546e2-8fa4-4dc2-811d-079c59e44617,CORONA,400000053006894118,,RREAL TACOS,RREAL TACOS,6.00,5/7/2025,No,No,,
400000035096089920,017be140-b422-4e80-a7ac-238660c2615d,Pickled Red Onions,400000035096089921,,RREAL TACOS,RREAL TACOS,0.63,10/11/2023,No,Yes,,
400000044797029858,017c6cc8-a05f-42f9-9742-eec0a5768254,ADD CHICKEN,400000044797029859,,RREAL TACOS,RREAL TACOS,4.00,8/23/2024,No,Yes,,
400000056749081445,01821cd6-fcb0-4793-83fa-0e53d6f75614,TOGO PREMIUM MARGARITA,400000056749081446,,09 - Rreal Tacos - Lawrenceville ,09 - Rreal Tacos - Lawrenceville ,17.00,8/16/2025,No,No,,
400000035098723380,01a74888-468d-4340-973b-f93733a1521f,Guac - No Jalapeno,400000035098723381,,RREAL TACOS,RREAL TACOS,0.00,10/11/2023,No,Yes,,
400000046036752176,01b32760-616b-4450-8d4d-0dae61a2ab48,SAUTEED PEPPER & ONIONS,400000046036752177,,RREAL TACOS,RREAL TACOS,0.50,10/1/2024,No,Yes,,
400000052476800918,01ba4bf0-b7b2-4d06-a8de-550787512610,CASA NOBLE ANEJO - TEQUILA,400000052476800919,,RREAL TACOS,RREAL TACOS,14.00,4/22/2025,No,No,,
400000030404309242,01e1ca40-52c8-4c56-8eb0-ec1eb66d135a,ADD RADISH,400000030404309243,,RREAL TACOS,RREAL TACOS,0.50,5/17/2023,No,Yes,,
400000052476800924,01f1d1a0-8c16-4ed4-afac-010ead33f493,CASA NOBLE REPOSADO - TEQUILA,400000052476800925,,RREAL TACOS,RREAL TACOS,13.00,4/22/2025,No,No,,
400000030404180158,01feaab3-a7ef-4e5a-a527-3f0550a1e454,ADD CARNITAS,400000030404180159,,RREAL TACOS,RREAL TACOS,4.00,5/17/2023,No,Yes,,
400000045181465210,02339924-7584-4977-97ab-5e04edc57837,PICO DE GALLO,400000045181465211,,RREAL TACOS,RREAL TACOS,0.50,9/3/2024,No,Yes,,
400000031176649694,0249e266-419e-4dd3-aa5e-0049c434b374,CHACKRAS - CABERNET,400000031176649695,,RREAL TACOS,RREAL TACOS,9.00,6/10/2023,No,No,,
400000045165493826,024aa9b0-39c0-43ce-bae6-52f646a7441d,CONSOME,400000045165493827,,RREAL TACOS,RREAL TACOS,3.00,9/3/2024,No,No,,
400000053088497001,024dd745-2171-417b-8941-9847f125fe8f,MANGO & PINEAPPLE - PITCHER MOCKTAIL,400000053088497002,,RREAL TACOS,RREAL TACOS,28.00,5/9/2025,No,No,,
400000049419818689,026f2681-0fde-40b3-b094-35fafa377a5a,ADD CHAYOTE SLAW,400000049419818690,,RREAL TACOS,RREAL TACOS,0.50,1/23/2025,No,Yes,,
400000030216027659,0278508e-a171-4d84-996d-e5359128b86c,STRAWBERRY,400000030216027660,,RREAL TACOS,RREAL TACOS,4.00,5/11/2023,No,Yes,,
400000037942565763,028c6618-47ca-4d89-8234-9d7cd946550f,3 PICANHA,400000037942565764,,RREAL TACOS,RREAL TACOS,0.00,1/19/2024,No,Yes,,
400000029719484659,029fb7f1-1b27-4325-8bc2-d3e82a6e1e74,SIDE OF TOMATO,400000029719484660,,RREAL TACOS,RREAL TACOS,0.50,4/25/2023,No,No,,
400000052476800942,02ab2fe1-2da4-4e22-a489-51660ad5d8b3,CAVA DE ORO REPOSADO - TEQUILA,400000052476800943,,RREAL TACOS,RREAL TACOS,16.00,4/22/2025,No,No,,
400000041220286798,02b125b1-4aaf-4c8f-b41b-eae573b96246,SHREDDED CHEESE,400000041220286799,,RREAL TACOS,RREAL TACOS,0.50,5/5/2024,No,No,,
400000057073771065,02ecf249-b255-4f8d-9bfe-f7ba10b4e5e4,Rreal Margarita,400000057073771066,,RREAL TACOS,RREAL TACOS,12.50,8/26/2025,No,No,,
400000047775481080,02edf53f-aa41-48c4-9d68-62ca791749d7,SINGLE,400000047775481081,,RREAL TACOS,RREAL TACOS,0.00,11/26/2024,No,No,,
400000043545344629,035429aa-2c88-4280-8f58-1232769bd8e4,NOTHING ON RIM,400000043545344630,,RREAL TACOS,RREAL TACOS,0.00,7/15/2024,No,Yes,,
400000030404285340,036bcff8-273d-42fc-b29d-451ba23c8e37,ADD BARBACOA,400000030404285341,,RREAL TACOS,RREAL TACOS,5.00,5/17/2023,No,Yes,,
400000040173674327,036bd7f7-30b6-43bc-8fb7-e319a8f05955,SHOTS,400000040173674328,,RREAL TACOS,RREAL TACOS,0.00,4/2/2024,No,No,,
400000053299152563,036e963a-0f68-48b4-935b-472f8dd05162,FORTALEZA ANEJO - TEQUILA,400000053299152564,,RREAL TACOS,RREAL TACOS,23.00,5/14/2025,No,No,,
400000030404131532,038e6457-8d4e-4707-b837-21884d0eb11d,ADD GUACAMOLE,400000030404131533,,RREAL TACOS,RREAL TACOS,1.50,5/17/2023,No,Yes,,
400000047809833197,038f2faa-6dcd-4e87-bfe9-e4b27c402c28,CHRISTMAS QUESABIRRIA,400000047809833198,,RREAL TACOS,RREAL TACOS,14.00,11/27/2024,No,No,,
400000052502069534,0399105a-19d7-4257-8d1c-f7850679821a,SIEMPRE REPOSADO - TEQUILA,400000052502069535,,RREAL TACOS,RREAL TACOS,12.00,4/23/2025,No,No,,
400000029697067461,039e3a21-2b39-40ef-bc86-250232227a27,MEXICAN COKE 1 LITRO,400000029697067462,,RREAL TACOS,RREAL TACOS,4.00,4/24/2023,No,No,,
400000041220257614,03a1d32b-ec3a-4b59-b96b-d5295c8cfa72,SHREDDED CHEESE,400000041220257615,,RREAL TACOS,RREAL TACOS,0.50,5/5/2024,No,No,,
400000040174215622,03b15267-8dcb-4150-826c-b60154e4ae11,PLAIN,400000040174215623,,RREAL TACOS,RREAL TACOS,0.00,4/2/2024,No,Yes,,
400000053318870302,03c70364-b881-465c-bdd2-ed0765417af6,GRACIAS A DIOS REPOSADO - MEZCAL,400000053318870303,,09 - Rreal Tacos - Lawrenceville ,RREAL TACOS,13.00,5/15/2025,No,No,,
400000030404285806,03dc8229-fea3-4493-97c8-5dce724ca8a1,ADD FISH,400000030404285807,,RREAL TACOS,RREAL TACOS,5.00,5/17/2023,No,Yes,,
400000029700621872,042440ed-7866-4778-bb81-57e3e6b78f41,CLASE AZUL MARGARITA,400000029700621873,,RREAL TACOS,RREAL TACOS,40.00,4/24/2023,No,No,,
400000043566314025,042bf8b5-66f1-440d-993c-ea9f6083eb4d,GRAND MARNIER,400000043566314026,,RREAL TACOS,RREAL TACOS,4.00,7/16/2024,No,Yes,,
400000057614908955,043597a0-7e19-422d-b720-2c96a4d24205,Togo Rreal Mango Margarita,400000057614908956,,RREAL TACOS,RREAL TACOS,20.00,9/11/2025,No,No,,
400000030150660451,0467f0a0-520c-4865-971f-eb5eb800e29f,NO QUESO,400000030150660452,,RREAL TACOS,RREAL TACOS,0.00,5/9/2023,No,Yes,,
400000035096996609,04a0c40d-6711-4c69-96a6-962fe4d11357,Cabbage,400000035096996610,,RREAL TACOS,RREAL TACOS,0.63,10/11/2023,No,Yes,,
400000029701517522,04b4fcc0-db8f-40b1-8715-aed96f279c78,LA CETTO - WHITE WINE,400000029701517523,,RREAL TACOS,RREAL TACOS,9.00,4/24/2023,No,No,,
